ü	age group	ab thinking	school	subject	sex	logic	olymp	tutor	f tasks	mean grade	ball	t university
1	1	130	0	2	1	53	1	0	210	6,2	130	1
2	1	140	1	2	1	51	3	1	245	5,7	156	1
3	1	120	1	2	0	66	2	0	276	7,2	169	1
4	1	145	1	1	1	63	1	1	233	7,1	150	3
5	1	160	1	0	0	67	4	0	286	8,5	108	1
6	1	120	1	2	1	67	4	0	229	7,2	129	3
7	1	130	2	0	0	37	3	0	250	5	187	2
8	1	130	2	0	0	41	2	0	204	9,1	172	3
9	1	120	0	2	0	56	2	0	236	3,8	178	2
10	1	140	2	0	0	62	4	0	268	4,6	160	3
11	1	120	1	1	0	57	4	0	354	4,4	163	1
12	1	130	0	0	0	63	4	0	254	6,7	147	1
13	1	140	0	0	1	53	4	1	203	6,8	155	1
14	1	140	0	1	0	57	4	0	192	8,5	148	3
15	1	140	0	2	0	56	2	0	294	7,3	153	3
16	1	130	0	2	0	56	3	1	256	8,7	142	1
17	1	120	2	0	0	44	2	0	263	9,4	173	1
18	1	172	0	2	0	52	3	1	199	7,7	162	1
19	1	150	0	2	1	57	3	0	168	5,8	174	3
20	1	110	0	0	0	48	2	0	229	7,3	168	3
21	1	140	0	2	0	54	4	0	239	9	160	3
22	1	130	0	0	0	48	3	0	275	6,2	139	3
23	1	130	1	1	0	49	2	0	266	6	171	3
24	1	110	1	1	1	64	1	0	211	8,4	144	2
25	1	150	0	0	0	58	1	1	283	8,2	162	2
26	1	120	2	0	1	58	2	0	284	9,2	160	2
27	1	132	0	2	0	58	3	0	224	5,8	173	3
28	1	130	1	1	1	60	4	0	206	4,6	132	3
29	1	120	0	2	1	50	3	0	219	5	158	1
30	1	120	1	2	0	58	3	0	340	5,6	172	2
31	1	150	1	0	1	66	1	0	226	3,9	114	2
32	1	150	2	2	0	43	4	0	247	7,9	171	1
33	1	110	1	0	0	40	4	0	167	8	114	3
34	1	140	2	1	1	69	1	0	239	5,9	151	2
35	1	117	0	1	0	60	4	1	230	3,8	160	3
36	1	140	2	0	0	64	3	0	335	7,6	158	3
37	1	135	0	0	1	59	4	0	234	3,7	161	3
38	1	130	1	0	1	44	3	0	233	5,9	179	1
39	1	140	0	2	1	42	4	0	226	5,4	178	2
40	1	120	2	2	1	43	4	0	177	4,1	120	2
41	1	150	0	1	1	57	4	0	276	6,9	112	1
42	1	132	0	0	0	55	4	0	353	7,8	132	3
43	1	150	1	2	1	61	3	1	243	4,5	137	2
44	1	150	0	1	0	65	4	0	225	5,3	114	2
45	1	155	0	0	0	65	3	0	269	6,9	148	2
46	1	125	0	0	1	67	4	1	254	4	163	3
47	1	120	1	0	0	62	4	0	267	9,1	99	2
48	1	110	0	0	1	65	4	0	248	8,3	158	1
49	1	110	1	0	1	44	4	0	197	7,1	177	3
50	1	160	1	2	1	65	3	0	360	5,3	151	2
51	1	125	1	1	1	60	4	0	258	4,6	141	1
52	1	140	1	0	0	51	3	0	308	5,5	142	2
53	1	130	0	0	1	48	2	0	245	5,1	180	3
54	1	150	0	2	1	58	4	0	270	3,8	111	2
55	1	104	1	1	0	45	4	0	208	6,8	148	1
56	1	130	0	0	0	53	4	0	264	4,3	143	1
57	1	140	2	0	0	39	3	0	321	4,2	182	1
58	1	180	2	0	0	68	3	1	274	5,2	150	2
59	1	120	1	1	0	52	2	0	325	6,4	172	2
60	1	140	0	0	0	44	3	0	235	7,5	180	3
61	1	138	0	0	1	47	3	0	257	5,1	156	2
62	1	138	1	2	1	51	4	0	234	8,4	160	1
63	1	130	1	2	1	48	3	0	256	9,3	149	2
64	1	120	1	0	1	47	4	0	302	6,1	151	3
65	1	160	0	1	1	62	4	0	164	5,7	145	2
66	1	130	0	2	0	62	3	0	231	7,2	146	2
67	1	108	0	2	1	44	3	0	141	6,1	175	1
68	1	135	0	2	0	63	3	0	252	7,5	172	3
69	1	128	3	1	1	52	4	0	255	9,3	161	3
70	1	130	3	1	1	62	3	0	263	7,9	97	3
71	1	135	1	2	0	41	2	0	203	7,9	132	1
72	1	140	0	2	0	58	3	1	211	5,3	165	1
73	1	138	0	0	0	35	4	0	183	6,7	182	2
74	1	130	0	1	1	63	4	1	330	5,9	132	1
75	1	100	0	2	0	51	3	0	222	8,4	143	2
76	1	140	2	0	0	55	4	0	217	9,3	111	2
77	1	138	1	1	1	65	1	1	282	4	174	1
78	1	130	0	1	0	45	2	0	234	7,4	175	2
79	1	200	1	2	1	56	4	1	288	5,2	133	2
80	1	110	0	2	0	54	4	0	239	9,5	126	1
81	1	120	2	2	0	44	2	0	220	5,5	170	3
82	1	124	0	1	1	62	4	0	209	6,2	163	2
83	1	120	3	2	0	54	3	0	258	6,1	147	1
84	1	94	3	1	0	51	3	0	227	6,3	154	1
85	1	130	2	2	0	29	2	0	204	8,9	202	1
86	1	140	3	1	0	51	4	0	261	7,5	186	1
87	1	122	1	0	0	43	3	0	213	7,2	165	1
88	1	135	1	2	0	55	2	0	250	9,4	161	2
89	1	145	2	0	1	70	4	0	174	8,5	125	2
90	1	120	0	2	1	62	2	0	281	8,5	103	3
91	1	120	1	0	0	35	4	0	198	7,7	130	3
92	1	125	2	1	0	51	3	1	245	6,9	166	1
93	1	140	0	0	1	59	2	0	221	7,8	164	2
94	1	170	1	1	0	59	1	0	288	4,3	159	3
95	1	128	3	0	0	52	2	1	205	9,3	184	1
96	1	125	0	0	0	64	3	0	309	7,4	131	3
97	1	105	0	0	0	58	3	0	240	9,5	154	1
98	1	108	3	0	1	47	3	0	243	4,8	152	3
99	1	165	0	0	0	57	4	1	289	8,3	124	2
100	1	112	0	0	0	41	3	0	250	5,5	179	2
101	1	128	0	0	0	45	2	0	308	8,2	170	1
102	1	102	3	2	1	60	3	0	318	5,1	160	2
103	1	152	0	1	0	52	1	1	298	5,2	178	1
104	1	102	3	2	1	42	4	0	265	6,1	122	2
105	1	115	0	2	0	67	3	0	564	5,5	160	3
106	1	160	0	0	1	55	4	0	289	7,1	145	2
107	1	120	1	2	0	64	4	0	246	5,6	96	2
108	1	130	1	2	1	70	4	0	322	9,1	109	3
109	1	140	3	2	0	51	4	0	299	6,2	173	1
110	1	125	1	0	1	58	4	0	300	8,4	171	3
111	1	140	1	2	1	60	4	0	293	5,5	170	3
112	1	118	2	2	0	68	3	0	277	5,2	151	1
113	1	101	0	1	1	46	2	1	197	3,6	156	3
114	1	125	3	1	0	77	4	0	304	5	162	2
115	1	110	0	1	0	54	3	0	214	5	158	3
116	1	100	3	2	0	58	4	0	248	5	122	1
117	1	124	0	2	1	48	3	1	255	3,8	175	1
118	1	132	1	0	1	57	4	0	207	8,4	168	3
119	1	132	3	2	0	54	2	1	288	5,9	159	3
120	1	126	0	2	0	35	4	0	282	6,8	156	2
121	1	112	0	2	0	45	2	0	160	5	138	2
122	1	160	0	1	0	70	3	0	269	9,3	112	3
123	1	142	1	2	1	53	4	0	226	4,4	111	3
124	1	174	0	1	1	59	4	0	249	7,8	143	2
125	1	140	3	1	0	62	4	0	394	5,7	157	2
126	1	145	0	1	1	64	4	0	212	7,6	132	3
127	1	152	0	1	0	57	4	0	274	7,4	88	2
128	1	108	2	0	0	52	4	1	233	6,3	147	2
129	1	132	2	2	1	56	4	0	184	6,3	105	1
130	1	130	3	1	0	43	3	0	315	7,7	162	1
131	1	130	3	1	1	53	3	1	246	5,6	173	2
132	1	124	0	0	0	48	4	0	274	6,9	166	3
133	1	134	1	2	1	56	4	0	409	7,3	150	3
134	1	148	0	2	0	42	1	0	244	7,1	178	1
135	1	178	0	0	1	59	1	0	270	5	145	3
136	1	158	3	0	1	60	3	0	305	7,4	161	1
137	1	140	2	1	0	63	1	0	195	9	179	1
138	1	120	0	1	1	42	2	1	240	9	194	2
139	1	160	3	1	1	66	2	0	246	3,7	120	2
140	1	192	2	2	1	54	1	0	283	8,5	195	3
141	1	140	0	1	0	69	3	0	254	9,5	146	1
142	1	129	0	1	0	50	0	0	196	3,8	163	1
143	1	140	0	1	0	51	1	0	298	6,4	122	1
144	1	138	1	1	0	62	3	1	294	8,2	106	2
145	1	120	1	2	1	68	3	0	211	5,2	115	2
146	1	100	0	1	1	67	1	0	299	5,9	125	2
147	1	160	0	2	0	69	3	1	234	4,4	131	3
148	1	138	3	0	0	45	0	0	236	6,8	152	1
149	1	120	0	0	0	50	0	0	244	6,8	162	2
150	1	160	1	2	0	59	3	0	273	8,6	125	3
151	1	110	3	1	0	50	0	0	254	3,8	159	3
152	1	180	1	1	0	64	3	0	325	3,6	154	2
